site_id,n_matched_treat,match_coverage_pct,max_abs_smd_after,worst_covariate,avg_abs_smd_after,n_covariates_balanced,cross_border_pct,reason,assessable?
555714961,182,97.3,0.16,travel_time,0.051,7,0.0,meets all criteria,Yes
1543,304,93.0,0.406,elevation,0.185,4,0.0,elevation |SMD| 0.406 > 0.25,Caution
555557937,98,100.0,0.069,slope,0.019,7,0.0,meets all criteria,Yes
93538,59,100.0,0.151,elevation,0.065,7,0.0,meets all criteria,Yes
2008,33,78.6,0.361,treecover2000,0.145,5,7.9,treecover2000 |SMD| 0.361 > 0.25,Caution
916,311,79.1,0.268,travel_time,0.168,4,3.8,travel_time |SMD| 0.268 > 0.25,Caution
303317,121,100.0,0.098,slope,0.032,7,0.0,meets all criteria,Yes
352159,60,100.0,0.079,ag_suitability,0.04,7,0.0,meets all criteria,Yes
555626124,56,100.0,0.098,elevation,0.067,7,0.0,meets all criteria,Yes
7949,64,100.0,0.326,log_pop_density,0.144,5,0.0,log_pop_density |SMD| 0.326 > 0.25,Caution
214,20,12.6,0.604,log_pop_density,0.267,4,0.0,coverage 13% < 25%; log_pop_density |SMD| 0.604 > 0.5,No
306522,107,59.4,0.413,elevation,0.162,5,0.0,coverage 59% < 75%; elevation |SMD| 0.413 > 0.25,Caution
555786096,19,100.0,0.327,treecover2000,0.102,6,5.3,treecover2000 |SMD| 0.327 > 0.25,Caution
555599263,1985,99.2,0.182,elevation,0.042,7,0.0,meets all criteria,Yes
555759266,219,100.0,0.117,ag_suitability,0.06,7,0.0,meets all criteria,Yes
9436,38,100.0,0.089,elevation,0.036,7,0.0,meets all criteria,Yes
1250,2491,100.0,0.145,travel_time,0.046,7,0.0,meets all criteria,Yes
68399,30,100.0,0.156,human_footprint,0.066,7,0.0,meets all criteria,Yes
11116292,6,66.7,0.996,slope,0.3,4,0.0,slope |SMD| 0.996 > 0.5,No
67967,17,50.0,0.415,slope,0.183,4,19.2,coverage 50% < 75%; slope |SMD| 0.415 > 0.25; cross-border pairs 19% > 10%,Caution
555512003,594,99.7,0.131,elevation,0.05,7,0.0,meets all criteria,Yes
555752316,,,,,,,,no matched treatment cells,No
166970,141,95.3,0.253,slope,0.108,5,0.0,slope |SMD| 0.253 > 0.25,Caution
26654,100,74.1,0.214,slope,0.135,6,0.0,coverage 74% < 75%,Caution
101664,222,83.5,0.214,travel_time,0.083,6,0.0,meets all criteria,Yes
555766202,,,,,,,,no matched treatment cells,No
2017,156,86.7,0.125,ag_suitability,0.059,7,0.3,meets all criteria,Yes
10711,284,99.6,0.141,ag_suitability,0.058,7,0.0,meets all criteria,Yes
164,229,61.6,0.425,travel_time,0.28,1,41.1,coverage 62% < 75%; travel_time |SMD| 0.425 > 0.25; cross-border pairs 41% > 10%,Caution
555784006,37,84.1,0.119,travel_time,0.031,7,15.4,cross-border pairs 15% > 10%,Caution
